2026-08-11 22:46:28,502 | INFO | builtins | ===== Test Execution Started =====
2026-08-11 22:46:28,503 | INFO | builtins | Starting Scenario: Add a product to cart
2026-08-11 22:46:34,123 | INFO | builtins | Finished Scenario: Add a product to cart
2026-08-11 22:46:34,125 | INFO | builtins | Starting Scenario: Remove a product from cart
2026-08-11 22:46:36,250 | INFO | builtins | Finished Scenario: Remove a product from cart
2026-08-11 22:46:36,251 | INFO | builtins | Starting Scenario: Open first category
2026-08-11 22:46:38,291 | INFO | builtins | Finished Scenario: Open first category
2026-08-11 22:46:38,291 | INFO | builtins | Starting Scenario: Verify category filters
2026-08-11 22:46:40,288 | INFO | builtins | Finished Scenario: Verify category filters
2026-08-11 22:46:40,289 | INFO | builtins | Starting Scenario: Verify footer section
2026-08-11 22:46:42,342 | INFO | builtins | Finished Scenario: Verify footer section
2026-08-11 22:46:42,342 | INFO | builtins | Starting Scenario: Verify footer links
2026-08-11 22:46:44,419 | INFO | builtins | Finished Scenario: Verify footer links
2026-08-11 22:46:44,419 | INFO | builtins | Starting Scenario: Open About Us page
2026-08-11 22:46:46,370 | INFO | builtins | Finished Scenario: Open About Us page
2026-08-11 22:46:46,371 | INFO | builtins | Starting Scenario: Open Contact Us page
2026-08-11 22:46:48,322 | INFO | builtins | Finished Scenario: Open Contact Us page
2026-08-11 22:46:48,322 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 22:46:50,291 | INFO | builtins | Finished Scenario: Verify homepage loads successfully
2026-08-11 22:46:50,292 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 22:46:52,266 | INFO | builtins | Finished Scenario: Verify homepage title
2026-08-11 22:46:52,267 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 22:46:54,403 | INFO | builtins | Finished Scenario: Verify homepage URL
2026-08-11 22:46:54,405 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 22:46:56,537 | INFO | builtins | Finished Scenario: Verify search box
2026-08-11 22:46:56,537 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 22:46:58,462 | INFO | builtins | Finished Scenario: Verify website logo
2026-08-11 22:46:58,462 | INFO | builtins | Starting Scenario: Verify login popup
2026-08-11 22:47:00,484 | INFO | builtins | Finished Scenario: Verify login popup
2026-08-11 22:47:00,484 | INFO | builtins | Starting Scenario: Invalid login
2026-08-11 22:47:02,521 | INFO | builtins | Finished Scenario: Invalid login
2026-08-11 22:47:02,522 | INFO | builtins | Starting Scenario: Verify product details
2026-08-11 22:47:04,502 | INFO | builtins | Finished Scenario: Verify product details
2026-08-11 22:47:04,502 | INFO | builtins | Starting Scenario: Add product to cart
2026-08-11 22:47:06,508 | INFO | builtins | Finished Scenario: Add product to cart
2026-08-11 22:47:06,509 | INFO | builtins | Starting Scenario: Search for Milk
2026-08-11 22:47:08,426 | INFO | builtins | Finished Scenario: Search for Milk
2026-08-11 22:47:08,427 | INFO | builtins | Starting Scenario: Search for Rice
2026-08-11 22:47:10,553 | INFO | builtins | Finished Scenario: Search for Rice
2026-08-11 22:47:10,553 | INFO | builtins | Starting Scenario: Search for Biscuit
2026-08-11 22:47:12,467 | INFO | builtins | Finished Scenario: Search for Biscuit
2026-08-11 22:47:12,467 | INFO | builtins | Starting Scenario: Search for Egg
2026-08-11 22:47:14,516 | INFO | builtins | Finished Scenario: Search for Egg
2026-08-11 22:47:14,516 | INFO | builtins | Starting Scenario: Search for Cooking Oil
2026-08-11 22:47:16,529 | INFO | builtins | Finished Scenario: Search for Cooking Oil
2026-08-11 22:47:16,530 | INFO | builtins | ===== Test Execution Finished =====
2026-08-11 22:49:53,722 | INFO | builtins | ===== Test Execution Started =====
2026-08-11 22:49:53,723 | INFO | builtins | Starting Scenario: Add a product to cart
2026-08-11 22:49:56,038 | INFO | builtins | Finished Scenario: Add a product to cart
2026-08-11 22:49:56,039 | INFO | builtins | Starting Scenario: Remove a product from cart
2026-08-11 22:49:58,021 | INFO | builtins | Finished Scenario: Remove a product from cart
2026-08-11 22:49:58,021 | INFO | builtins | Starting Scenario: Open first category
2026-08-11 22:50:00,143 | INFO | builtins | Finished Scenario: Open first category
2026-08-11 22:50:00,143 | INFO | builtins | Starting Scenario: Verify category filters
2026-08-11 22:50:02,318 | INFO | builtins | Finished Scenario: Verify category filters
2026-08-11 22:50:02,318 | INFO | builtins | Starting Scenario: Verify footer section
2026-08-11 22:50:04,469 | INFO | builtins | Finished Scenario: Verify footer section
2026-08-11 22:50:04,469 | INFO | builtins | Starting Scenario: Verify footer links
2026-08-11 22:50:06,562 | INFO | builtins | Finished Scenario: Verify footer links
2026-08-11 22:50:06,562 | INFO | builtins | Starting Scenario: Open About Us page
2026-08-11 22:50:08,495 | INFO | builtins | Finished Scenario: Open About Us page
2026-08-11 22:50:08,495 | INFO | builtins | Starting Scenario: Open Contact Us page
2026-08-11 22:50:10,585 | INFO | builtins | Finished Scenario: Open Contact Us page
2026-08-11 22:50:10,586 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 22:50:12,683 | INFO | builtins | Finished Scenario: Verify homepage loads successfully
2026-08-11 22:50:12,683 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 22:50:14,963 | INFO | builtins | Finished Scenario: Verify homepage title
2026-08-11 22:50:14,963 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 22:50:17,256 | INFO | builtins | Finished Scenario: Verify homepage URL
2026-08-11 22:50:17,256 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 22:50:19,385 | INFO | builtins | Finished Scenario: Verify search box
